id,title
gossipcop-2493749932,Did Miley Cyrus and Liam Hemsworth secretly get married?
gossipcop-4580247171,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’
gossipcop-941805037,Celebrities Join Tax March in Protest of Donald Trump
gossipcop-2547891536,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles
gossipcop-5476631226,Full List of 2018 Oscar Nominations – Variety
gossipcop-5189580095,Here's What Really Happened When JFK Jr. Met Princess Diana
gossipcop-9588339534,Biggest celebrity scandals of 2016
gossipcop-8753274298,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins
gossipcop-8105333868,Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win
gossipcop-2803748870,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?"
gossipcop-7312096991,"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report"
gossipcop-5328748354,Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’
gossipcop-9878194459,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement
gossipcop-9521617242,Critics' Choice Awards 2018 Winners: The Complete List
gossipcop-8099144572,"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business"
gossipcop-2210288941,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source"
gossipcop-6068765070,He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach
gossipcop-3783917182,Full statement: John McCain to vote no on Graham-Cassidy health care bill
gossipcop-2365780434,Justin Bieber Despacito
gossipcop-9650269391,Julia Roberts miracle baby at 50
gossipcop-7365331782,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks
gossipcop-3503563094,"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'"
gossipcop-5866775064,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani
gossipcop-1026793571,Pregnant Kate Middleton Hit With Cocaine Bombshell
gossipcop-3896029098,Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It
gossipcop-7391946984,Emmys 2017: What the Nominees Are Saying
gossipcop-2277402152,"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery"
gossipcop-9940338306,Chris Brown does not want Royalty to be like North West
gossipcop-6747642549,"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps"
gossipcop-809829695,Lopez /López (accent on people's names)
gossipcop-8996311550,Nicole Kidman and Prince Harry named sexiest redheads
gossipcop-3084428038,Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split
gossipcop-1601939859,Kristen Stewart is usual scowling self on night out with Robert Pattinson
gossipcop-392859545,Johnny Depp Settles Lawsuit Against His Former Business Managers
gossipcop-9098202484,Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick
gossipcop-5493993751,On Air with Ryan Seacrest
gossipcop-5945307777,Swift calls out label for being 'nervous' over pop album
gossipcop-5422231977,Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her
gossipcop-3111839896,Kylie Jenner slams 'altered' photos amid pregnancy rumors
gossipcop-9668863370,Kylie Jenner Jenner Kris Life Of Kylie
gossipcop-7894516039,Pictures of Selena Gomez Over the Years
gossipcop-1914781905,Katy Perry & Orlando Bloom Reportedly ‘Back On’ After ‘Robsten’ Parties Together In LA
gossipcop-324494433,Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors
gossipcop-3976443648,Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’
