id,title
politifact15014,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs
politifact15156,Court Orders Obama To Pay $400 Million In Restitution
politifact14745,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -
politifact14355,Oscar Pistorius Attempts To Commit Suicide
politifact15371,Trump Votes For Death Penalty For Being Gay
politifact14404,Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!
politifact13919,New York Man Wanted For Infecting 240 Men And Women With HIV!!!
politifact14795,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian
politifact14328,Malia Obama Fired From Cushy Internship At Spanish Embassy
politifact13775,Target to Discontinue Sale of Holy Bible
politifact14678,Youngest World Leader Bans George Soros’s Foundations From Austria
politifact14394,BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’
politifact14376,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died"
politifact14233,President Trump Underscores US-Jamaica Relations
politifact14890,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y
politifact14356,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”
politifact14776,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’"
politifact15355,Black Men Arrested In Philadelphia Starbucks Settle For $2 Million
politifact14664,ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail
politifact15178,Former presidents walk fine line in Trump’s America
politifact15052,"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'"
politifact15309,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline
politifact15267,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend"
politifact13836,BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump
politifact15553,Clinton Campaign official arrested by FBI on child rape/trafficking charges
politifact14755,"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump"
politifact13806,"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”"
politifact15164,Biden raises possibility of 2020 presidential bid
politifact14388,"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -"
politifact14742,Snapchat is shutting down!
politifact14544,Rice told investigators why she unmasked Trump aides
politifact13677,BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -
politifact15280,Clinton Email: We Must Destroy Syria For Israel
politifact14310,CNN host Fareed Zakaria calls for jihad rape of white women
politifact15130,Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement
politifact14694,UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced
politifact14863,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire
politifact15004,"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead"
politifact13773,"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead"
politifact14258,Barrels removed from Clinton property contain parts from 3 missing women.
politifact14235,"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway"
politifact15251,Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’
politifact14940,Full text: Jeff Flake on Trump speech transcript
politifact13687,Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”
politifact14305,"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”"
politifact15367,Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore
politifact14862,About Mayor Bhalla
politifact13949,Neon Nettle
politifact15591,Broward County Sheriff Fired For Lying About Parkland
politifact13887,Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”
politifact15262,Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”
politifact15525,Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”
politifact13589,Pope Francis To Followers: “Koran And Holy Bible Are The Same”
politifact14005,United Airlines Flight Attendant Slaps Crying Baby During Flight
politifact15271,"CIA Release Documents Of Moon, Moon Has More Than 250 Million Citizens"
politifact13565,How Donald Trump Lost the 'War on Christmas'
politifact15354,Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria
politifact14426,Man charged with murder after driving into anti-far-right protesters in Charlottesville
politifact14565,BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’
politifact14548,The Legislative Process
politifact14564,Head Of NFL Fines Steeler Teammates $1 MILLION Each!
politifact14386,Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country
politifact14879,BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake
politifact13515,Sid Miller
politifact13982,"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”"
politifact14222,Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS
politifact13745,GOP Official Who Says America Needs ?Another 9/11? Shares _______________ With Trump
politifact14954,82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty
politifact14211,DEA Just Raided A United States Senator
politifact15331,"CNN Shocks America, FIRES ‘Journalist’ Who Made Fun Of Sarah Sanders’ Face"
politifact15492,Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders
politifact14567,Twelve More Hurricanes Headed Towards US
politifact14700,CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?
